Plot,X-Start,X-End,Y-Start,Y-End
814,26.071,30.087,17.664,18.172
813,26.071,30.087,18.172,18.68
812,26.071,30.087,18.68,19.188
811,26.071,30.087,19.188,19.696
810,26.071,30.087,19.696,20.204
809,26.071,30.087,20.204,20.712
808,26.071,30.087,20.712,21.22
807,26.071,30.087,21.22,21.728
806,26.071,30.087,21.728,22.236
805,26.071,30.087,22.236,22.744
804,26.071,30.087,22.744,23.252
803,26.071,30.087,23.252,23.76
802,26.071,30.087,23.76,24.268
801,26.071,30.087,24.268,24.776
948,30.087,34.102,0.392,0.9
947,30.087,34.102,0.9,1.408
946,30.087,34.102,1.408,1.916
945,30.087,34.102,1.916,2.424
944,30.087,34.102,2.424,2.932
943,30.087,34.102,2.932,3.44
942,30.087,34.102,3.44,3.948
941,30.087,34.102,3.948,4.456
940,30.087,34.102,4.456,4.964
939,30.087,34.102,4.964,5.472
938,30.087,34.102,5.472,5.98
937,30.087,34.102,5.98,6.488
936,30.087,34.102,6.488,6.996
935,30.087,34.102,6.996,7.504
934,30.087,34.102,7.504,8.012
933,30.087,34.102,8.012,8.52
932,30.087,34.102,8.52,9.028
931,30.087,34.102,9.028,9.536
930,30.087,34.102,9.536,10.044
929,30.087,34.102,10.044,10.552
928,30.087,34.102,10.552,11.06
927,30.087,34.102,11.06,11.568
926,30.087,34.102,11.568,12.076
925,30.087,34.102,12.076,12.584
924,30.087,34.102,12.584,13.092
923,30.087,34.102,13.092,13.6
922,30.087,34.102,13.6,14.108
921,30.087,34.102,14.108,14.616
920,30.087,34.102,14.616,15.124
919,30.087,34.102,15.124,15.632
918,30.087,34.102,15.632,16.14
917,30.087,34.102,16.14,16.648
916,30.087,34.102,16.648,17.156
915,30.087,34.102,17.156,17.664
914,30.087,34.102,17.664,18.172
913,30.087,34.102,18.172,18.68
912,30.087,34.102,18.68,19.188
911,30.087,34.102,19.188,19.696
910,30.087,34.102,19.696,20.204
909,30.087,34.102,20.204,20.712
908,30.087,34.102,20.712,21.22
907,30.087,34.102,21.22,21.728
906,30.087,34.102,21.728,22.236
905,30.087,34.102,22.236,22.744
904,30.087,34.102,22.744,23.252
903,30.087,34.102,23.252,23.76
902,30.087,34.102,23.76,24.268
901,30.087,34.102,24.268,24.776
1048,34.102,38.118,0.392,0.9
1047,34.102,38.118,0.9,1.408
1046,34.102,38.118,1.408,1.916
1045,34.102,38.118,1.916,2.424
1044,34.102,38.118,2.424,2.932
1043,34.102,38.118,2.932,3.44
1042,34.102,38.118,3.44,3.948
1041,34.102,38.118,3.948,4.456
1040,34.102,38.118,4.456,4.964
1039,34.102,38.118,4.964,5.472
1038,34.102,38.118,5.472,5.98
1037,34.102,38.118,5.98,6.488
1036,34.102,38.118,6.488,6.996
1035,34.102,38.118,6.996,7.504
1034,34.102,38.118,7.504,8.012
1033,34.102,38.118,8.012,8.52
1032,34.102,38.118,8.52,9.028
1031,34.102,38.118,9.028,9.536
1030,34.102,38.118,9.536,10.044
1029,34.102,38.118,10.044,10.552
1028,34.102,38.118,10.552,11.06
1027,34.102,38.118,11.06,11.568
1026,34.102,38.118,11.568,12.076
1025,34.102,38.118,12.076,12.584
1024,34.102,38.118,12.584,13.092
1023,34.102,38.118,13.092,13.6
1022,34.102,38.118,13.6,14.108
1021,34.102,38.118,14.108,14.616
1020,34.102,38.118,14.616,15.124
1019,34.102,38.118,15.124,15.632
1018,34.102,38.118,15.632,16.14
1017,34.102,38.118,16.14,16.648
1016,34.102,38.118,16.648,17.156
1015,34.102,38.118,17.156,17.664
1014,34.102,38.118,17.664,18.172
1013,34.102,38.118,18.172,18.68
1012,34.102,38.118,18.68,19.188
1011,34.102,38.118,19.188,19.696
1010,34.102,38.118,19.696,20.204
1009,34.102,38.118,20.204,20.712
1008,34.102,38.118,20.712,21.22
1007,34.102,38.118,21.22,21.728
1006,34.102,38.118,21.728,22.236
1005,34.102,38.118,22.236,22.744
1004,34.102,38.118,22.744,23.252
1003,34.102,38.118,23.252,23.76
1002,34.102,38.118,23.76,24.268
1001,34.102,38.118,24.268,24.776
1148,38.118,42.133,0.392,0.9
1147,38.118,42.133,0.9,1.408
1146,38.118,42.133,1.408,1.916
1145,38.118,42.133,1.916,2.424
1144,38.118,42.133,2.424,2.932
1143,38.118,42.133,2.932,3.44
1142,38.118,42.133,3.44,3.948
1141,38.118,42.133,3.948,4.456
1140,38.118,42.133,4.456,4.964
1139,38.118,42.133,4.964,5.472
1138,38.118,42.133,5.472,5.98
1137,38.118,42.133,5.98,6.488
1136,38.118,42.133,6.488,6.996
1135,38.118,42.133,6.996,7.504
1134,38.118,42.133,7.504,8.012
1133,38.118,42.133,8.012,8.52
1132,38.118,42.133,8.52,9.028
1131,38.118,42.133,9.028,9.536
1130,38.118,42.133,9.536,10.044
1129,38.118,42.133,10.044,10.552
1128,38.118,42.133,10.552,11.06
1127,38.118,42.133,11.06,11.568
1126,38.118,42.133,11.568,12.076
1125,38.118,42.133,12.076,12.584
1124,38.118,42.133,12.584,13.092
1123,38.118,42.133,13.092,13.6
1122,38.118,42.133,13.6,14.108
1121,38.118,42.133,14.108,14.616
1120,38.118,42.133,14.616,15.124
1119,38.118,42.133,15.124,15.632
1118,38.118,42.133,15.632,16.14
1117,38.118,42.133,16.14,16.648
1116,38.118,42.133,16.648,17.156
1115,38.118,42.133,17.156,17.664
1114,38.118,42.133,17.664,18.172
1113,38.118,42.133,18.172,18.68
1112,38.118,42.133,18.68,19.188
1111,38.118,42.133,19.188,19.696
1110,38.118,42.133,19.696,20.204
1109,38.118,42.133,20.204,20.712
1108,38.118,42.133,20.712,21.22
1107,38.118,42.133,21.22,21.728
1106,38.118,42.133,21.728,22.236
1105,38.118,42.133,22.236,22.744
1104,38.118,42.133,22.744,23.252
1103,38.118,42.133,23.252,23.76
1102,38.118,42.133,23.76,24.268
1101,38.118,42.133,24.268,24.776
1248,42.133,46.149,0.392,0.9
1247,42.133,46.149,0.9,1.408
1246,42.133,46.149,1.408,1.916
1245,42.133,46.149,1.916,2.424
1244,42.133,46.149,2.424,2.932
1243,42.133,46.149,2.932,3.44
1242,42.133,46.149,3.44,3.948
1241,42.133,46.149,3.948,4.456
1240,42.133,46.149,4.456,4.964
1239,42.133,46.149,4.964,5.472
1238,42.133,46.149,5.472,5.98
1237,42.133,46.149,5.98,6.488
1236,42.133,46.149,6.488,6.996
1235,42.133,46.149,6.996,7.504
1234,42.133,46.149,7.504,8.012
1233,42.133,46.149,8.012,8.52
1232,42.133,46.149,8.52,9.028
1231,42.133,46.149,9.028,9.536
1230,42.133,46.149,9.536,10.044
1229,42.133,46.149,10.044,10.552
1228,42.133,46.149,10.552,11.06
1227,42.133,46.149,11.06,11.568
1226,42.133,46.149,11.568,12.076
1225,42.133,46.149,12.076,12.584
1224,42.133,46.149,12.584,13.092
1223,42.133,46.149,13.092,13.6
1222,42.133,46.149,13.6,14.108
1221,42.133,46.149,14.108,14.616
1220,42.133,46.149,14.616,15.124
1219,42.133,46.149,15.124,15.632
1218,42.133,46.149,15.632,16.14
1217,42.133,46.149,16.14,16.648
1216,42.133,46.149,16.648,17.156
1215,42.133,46.149,17.156,17.664
1214,42.133,46.149,17.664,18.172
1213,42.133,46.149,18.172,18.68
1212,42.133,46.149,18.68,19.188
1211,42.133,46.149,19.188,19.696
1210,42.133,46.149,19.696,20.204
1209,42.133,46.149,20.204,20.712
1208,42.133,46.149,20.712,21.22
1207,42.133,46.149,21.22,21.728
1206,42.133,46.149,21.728,22.236
1205,42.133,46.149,22.236,22.744
1204,42.133,46.149,22.744,23.252
1203,42.133,46.149,23.252,23.76
1202,42.133,46.149,23.76,24.268
1201,42.133,46.149,24.268,24.776
1348,46.149,50.165,0.392,0.9
1347,46.149,50.165,0.9,1.408
1346,46.149,50.165,1.408,1.916
1345,46.149,50.165,1.916,2.424
1344,46.149,50.165,2.424,2.932
1343,46.149,50.165,2.932,3.44
1342,46.149,50.165,3.44,3.948
1341,46.149,50.165,3.948,4.456
1340,46.149,50.165,4.456,4.964
1339,46.149,50.165,4.964,5.472
1338,46.149,50.165,5.472,5.98
1337,46.149,50.165,5.98,6.488
1336,46.149,50.165,6.488,6.996
1335,46.149,50.165,6.996,7.504
1334,46.149,50.165,7.504,8.012
1333,46.149,50.165,8.012,8.52
1332,46.149,50.165,8.52,9.028
1331,46.149,50.165,9.028,9.536
1330,46.149,50.165,9.536,10.044
1329,46.149,50.165,10.044,10.552
1328,46.149,50.165,10.552,11.06
1327,46.149,50.165,11.06,11.568
1326,46.149,50.165,11.568,12.076
1325,46.149,50.165,12.076,12.584
1324,46.149,50.165,12.584,13.092
1323,46.149,50.165,13.092,13.6
1322,46.149,50.165,13.6,14.108
1321,46.149,50.165,14.108,14.616
1320,46.149,50.165,14.616,15.124
1319,46.149,50.165,15.124,15.632
1318,46.149,50.165,15.632,16.14
1317,46.149,50.165,16.14,16.648
1316,46.149,50.165,16.648,17.156
1315,46.149,50.165,17.156,17.664
1314,46.149,50.165,17.664,18.172
1313,46.149,50.165,18.172,18.68
1312,46.149,50.165,18.68,19.188
1311,46.149,50.165,19.188,19.696
1310,46.149,50.165,19.696,20.204
1309,46.149,50.165,20.204,20.712
1308,46.149,50.165,20.712,21.22
1307,46.149,50.165,21.22,21.728
1306,46.149,50.165,21.728,22.236
1305,46.149,50.165,22.236,22.744
1304,46.149,50.165,22.744,23.252
1303,46.149,50.165,23.252,23.76
1302,46.149,50.165,23.76,24.268
1301,46.149,50.165,24.268,24.776
1448,50.165,54.18,0.392,0.9
1447,50.165,54.18,0.9,1.408
1446,50.165,54.18,1.408,1.916
1445,50.165,54.18,1.916,2.424
1444,50.165,54.18,2.424,2.932
1443,50.165,54.18,2.932,3.44
1442,50.165,54.18,3.44,3.948
1441,50.165,54.18,3.948,4.456
1440,50.165,54.18,4.456,4.964
1439,50.165,54.18,4.964,5.472
1438,50.165,54.18,5.472,5.98
1437,50.165,54.18,5.98,6.488
1436,50.165,54.18,6.488,6.996
1435,50.165,54.18,6.996,7.504
1434,50.165,54.18,7.504,8.012
1433,50.165,54.18,8.012,8.52
1432,50.165,54.18,8.52,9.028
1431,50.165,54.18,9.028,9.536
1430,50.165,54.18,9.536,10.044
1429,50.165,54.18,10.044,10.552
1428,50.165,54.18,10.552,11.06
1427,50.165,54.18,11.06,11.568
1426,50.165,54.18,11.568,12.076
1425,50.165,54.18,12.076,12.584
1424,50.165,54.18,12.584,13.092
1423,50.165,54.18,13.092,13.6
1422,50.165,54.18,13.6,14.108
1421,50.165,54.18,14.108,14.616
1420,50.165,54.18,14.616,15.124
1419,50.165,54.18,15.124,15.632
1418,50.165,54.18,15.632,16.14
1417,50.165,54.18,16.14,16.648
1416,50.165,54.18,16.648,17.156
1415,50.165,54.18,17.156,17.664
1414,50.165,54.18,17.664,18.172
1413,50.165,54.18,18.172,18.68
1412,50.165,54.18,18.68,19.188
1411,50.165,54.18,19.188,19.696
1410,50.165,54.18,19.696,20.204
1409,50.165,54.18,20.204,20.712
1408,50.165,54.18,20.712,21.22
1407,50.165,54.18,21.22,21.728
1406,50.165,54.18,21.728,22.236
1405,50.165,54.18,22.236,22.744
1404,50.165,54.18,22.744,23.252
1403,50.165,54.18,23.252,23.76
1402,50.165,54.18,23.76,24.268
1401,50.165,54.18,24.268,24.776
1548,54.18,58.196,0.392,0.9
1547,54.18,58.196,0.9,1.408
1546,54.18,58.196,1.408,1.916
1545,54.18,58.196,1.916,2.424
1544,54.18,58.196,2.424,2.932
1543,54.18,58.196,2.932,3.44
1542,54.18,58.196,3.44,3.948
1541,54.18,58.196,3.948,4.456
1540,54.18,58.196,4.456,4.964
1539,54.18,58.196,4.964,5.472
1538,54.18,58.196,5.472,5.98
1537,54.18,58.196,5.98,6.488
1536,54.18,58.196,6.488,6.996
1535,54.18,58.196,6.996,7.504
1534,54.18,58.196,7.504,8.012
1533,54.18,58.196,8.012,8.52
1532,54.18,58.196,8.52,9.028
1531,54.18,58.196,9.028,9.536
1530,54.18,58.196,9.536,10.044
1529,54.18,58.196,10.044,10.552
1528,54.18,58.196,10.552,11.06
1527,54.18,58.196,11.06,11.568
1526,54.18,58.196,11.568,12.076
1525,54.18,58.196,12.076,12.584
1524,54.18,58.196,12.584,13.092
1523,54.18,58.196,13.092,13.6
1522,54.18,58.196,13.6,14.108
1521,54.18,58.196,14.108,14.616
1520,54.18,58.196,14.616,15.124
1519,54.18,58.196,15.124,15.632
1518,54.18,58.196,15.632,16.14
1517,54.18,58.196,16.14,16.648
1516,54.18,58.196,16.648,17.156
1515,54.18,58.196,17.156,17.664
1514,54.18,58.196,17.664,18.172
1513,54.18,58.196,18.172,18.68
1512,54.18,58.196,18.68,19.188
1511,54.18,58.196,19.188,19.696
1510,54.18,58.196,19.696,20.204
1509,54.18,58.196,20.204,20.712
1508,54.18,58.196,20.712,21.22
1507,54.18,58.196,21.22,21.728
1506,54.18,58.196,21.728,22.236
1505,54.18,58.196,22.236,22.744
1504,54.18,58.196,22.744,23.252
1503,54.18,58.196,23.252,23.76
1502,54.18,58.196,23.76,24.268
1501,54.18,58.196,24.268,24.776
1648,58.196,62.211,0.392,0.9
1647,58.196,62.211,0.9,1.408
1646,58.196,62.211,1.408,1.916
1645,58.196,62.211,1.916,2.424
1644,58.196,62.211,2.424,2.932
1643,58.196,62.211,2.932,3.44
1642,58.196,62.211,3.44,3.948
1641,58.196,62.211,3.948,4.456
1640,58.196,62.211,4.456,4.964
1639,58.196,62.211,4.964,5.472
1638,58.196,62.211,5.472,5.98
1637,58.196,62.211,5.98,6.488
1636,58.196,62.211,6.488,6.996
1635,58.196,62.211,6.996,7.504
1634,58.196,62.211,7.504,8.012
1633,58.196,62.211,8.012,8.52
1632,58.196,62.211,8.52,9.028
1631,58.196,62.211,9.028,9.536
1630,58.196,62.211,9.536,10.044
1629,58.196,62.211,10.044,10.552
1628,58.196,62.211,10.552,11.06
1627,58.196,62.211,11.06,11.568
1626,58.196,62.211,11.568,12.076
1625,58.196,62.211,12.076,12.584
1624,58.196,62.211,12.584,13.092
1623,58.196,62.211,13.092,13.6
1622,58.196,62.211,13.6,14.108
1621,58.196,62.211,14.108,14.616
1620,58.196,62.211,14.616,15.124
1619,58.196,62.211,15.124,15.632
1618,58.196,62.211,15.632,16.14
